GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC04_EST_VC01,HC01_EST_VC36,HC02_EST_VC36,HC04_EST_VC36,HC01_EST_VC37,HC02_EST_VC37,HC04_EST_VC37
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Labor Force Participation Rate; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Labor Force Participation Rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Unemployment rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level,Labor Force Participation Rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level,Unemployment rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level
1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California",3258,70.0,4.5,60,41.7,32.0,2400,86.6,4.2
1400000US06001405200,06001405200,"Census Tract 4052, Alameda County, California",4336,78.5,8.3,241,74.3,48.6,3429,88.9,5.8
1400000US06001405301,06001405301,"Census Tract 4053.01, Alameda County, California",2501,79.1,6.6,146,54.1,38.0,2019,88.8,5.6
1400000US06001405302,06001405302,"Census Tract 4053.02, Alameda County, California",2299,62.9,12.9,358,42.5,16.4,1459,83.8,12.0
1400000US06001405401,06001405401,"Census Tract 4054.01, Alameda County, California",3565,67.4,12.9,842,56.8,9.6,2157,80.9,9.3
1400000US06001405402,06001405402,"Census Tract 4054.02, Alameda County, California",2459,74.9,17.3,449,66.6,24.7,1596,89.1,12.3
1400000US06001405500,06001405500,"Census Tract 4055, Alameda County, California",3365,70.5,7.3,497,52.9,28.9,2362,86.8,4.0
1400000US06001405600,06001405600,"Census Tract 4056, Alameda County, California",2659,74.2,10.1,257,71.2,37.7,1991,82.5,5.1
1400000US06001405700,06001405700,"Census Tract 4057, Alameda County, California",2820,61.1,17.7,445,59.8,39.8,1897,73.5,14.3
1400000US06001405800,06001405800,"Census Tract 4058, Alameda County, California",3309,62.0,9.1,791,39.6,8.0,1937,84.4,7.0
1400000US06001405901,06001405901,"Census Tract 4059.01, Alameda County, California",3172,58.9,17.9,768,47.5,35.1,1869,76.0,12.1
1400000US06001405902,06001405902,"Census Tract 4059.02, Alameda County, California",2643,64.4,13.4,650,64.6,20.0,1381,81.8,5.8
1400000US06001406000,06001406000,"Census Tract 4060, Alameda County, California",3039,59.4,10.8,873,59.6,30.8,1536,80.5,1.9
1400000US06001406100,06001406100,"Census Tract 4061, Alameda County, California",3724,72.4,10.1,650,60.2,14.3,2576,87.3,9.6
1400000US06001406201,06001406201,"Census Tract 4062.01, Alameda County, California",3323,69.1,18.7,958,68.9,33.6,1809,82.5,11.4
1400000US06001406202,06001406202,"Census Tract 4062.02, Alameda County, California",3541,67.2,14.2,1090,64.5,24.0,1854,87.5,9.2
1400000US06001406300,06001406300,"Census Tract 4063, Alameda County, California",3091,63.1,7.3,504,46.2,17.2,2010,79.5,4.9
1400000US06001406400,06001406400,"Census Tract 4064, Alameda County, California",1900,47.3,10.3,309,43.0,34.6,995,70.4,6.7
1400000US06001406500,06001406500,"Census Tract 4065, Alameda County, California",5093,64.4,13.7,869,62.0,13.2,3191,80.9,12.6
1400000US06001406601,06001406601,"Census Tract 4066.01, Alameda County, California",3838,62.1,15.4,491,56.8,54.5,2573,78.7,10.5
1400000US06001406602,06001406602,"Census Tract 4066.02, Alameda County, California",2257,69.7,8.5,381,86.1,23.5,1380,86.1,4.7
1400000US06001406700,06001406700,"Census Tract 4067, Alameda County, California",4177,63.0,9.6,444,52.3,8.2,2613,82.6,10.1
1400000US06001406800,06001406800,"Census Tract 4068, Alameda County, California",2966,75.1,9.3,220,75.5,28.9,2243,83.1,5.3
1400000US06001406900,06001406900,"Census Tract 4069, Alameda County, California",3052,67.7,8.3,325,76.9,32.8,2106,76.2,5.6
1400000US06001407000,06001407000,"Census Tract 4070, Alameda County, California",4771,62.4,11.3,772,53.1,30.5,2744,82.7,8.5
1400000US06001407101,06001407101,"Census Tract 4071.01, Alameda County, California",3027,57.0,10.6,668,47.2,9.5,1644,75.2,9.3
1400000US06001407102,06001407102,"Census Tract 4071.02, Alameda County, California",3233,67.4,12.6,599,69.3,27.5,1947,83.4,8.6
1400000US06001407200,06001407200,"Census Tract 4072, Alameda County, California",4999,65.3,10.8,1270,63.1,17.4,2703,85.1,6.1
1400000US06001407300,06001407300,"Census Tract 4073, Alameda County, California",2166,68.5,9.6,398,43.5,16.2,1425,83.9,6.2
1400000US06001407400,06001407400,"Census Tract 4074, Alameda County, California",3361,60.5,16.7,645,48.8,53.3,2193,73.6,9.8
1400000US06001407500,06001407500,"Census Tract 4075, Alameda County, California",2860,52.0,16.9,642,39.7,23.9,1627,73.3,14.2
1400000US06001407600,06001407600,"Census Tract 4076, Alameda County, California",4582,62.4,8.3,755,56.7,17.1,3147,72.5,6.4
1400000US06001407700,06001407700,"Census Tract 4077, Alameda County, California",3390,64.0,12.7,271,63.8,56.6,2365,77.2,8.0
1400000US06001407800,06001407800,"Census Tract 4078, Alameda County, California",2492,61.3,9.6,68,39.7,51.9,1176,85.9,5.4
1400000US06001407900,06001407900,"Census Tract 4079, Alameda County, California",2318,71.5,7.9,125,37.6,55.3,1664,91.8,6.9
1400000US06001408000,06001408000,"Census Tract 4080, Alameda County, California",2390,64.6,8.4,88,64.8,61.4,1410,84.6,3.9
1400000US06001408100,06001408100,"Census Tract 4081, Alameda County, California",5323,72.2,4.5,234,81.2,39.5,3781,87.9,1.3
1400000US06001408200,06001408200,"Census Tract 4082, Alameda County, California",3399,70.0,9.8,479,57.6,51.4,2269,86.5,3.5
1400000US06001408300,06001408300,"Census Tract 4083, Alameda County, California",3741,70.3,11.4,411,41.8,37.2,2682,85.0,8.7
1400000US06001408400,06001408400,"Census Tract 4084, Alameda County, California",2683,59.2,16.8,739,50.9,44.4,1376,80.5,5.6
1400000US06001408500,06001408500,"Census Tract 4085, Alameda County, California",3980,61.5,8.0,757,63.0,21.4,2393,75.4,4.2
1400000US06001408600,06001408600,"Census Tract 4086, Alameda County, California",4573,54.6,14.2,920,41.5,22.8,2571,74.6,8.8
1400000US06001408700,06001408700,"Census Tract 4087, Alameda County, California",5254,62.9,15.2,977,56.4,12.0,3235,80.1,13.4
1400000US06001408800,06001408800,"Census Tract 4088, Alameda County, California",4497,58.9,20.1,1210,52.4,45.9,2485,73.5,9.7
1400000US06001408900,06001408900,"Census Tract 4089, Alameda County, California",2298,56.5,17.7,877,54.3,30.9,950,79.4,7.8
1400000US06001409000,06001409000,"Census Tract 4090, Alameda County, California",2917,64.6,13.3,569,74.9,20.9,1790,78.7,10.7
1400000US06001409100,06001409100,"Census Tract 4091, Alameda County, California",1566,57.3,12.6,315,50.5,33.3,897,76.4,7.7
1400000US06001409200,06001409200,"Census Tract 4092, Alameda County, California",2545,62.6,13.4,298,57.7,40.1,1793,74.6,9.2
1400000US06001409300,06001409300,"Census Tract 4093, Alameda County, California",3839,64.0,16.1,810,62.3,24.4,2357,78.0,13.1
1400000US06001409400,06001409400,"Census Tract 4094, Alameda County, California",3107,62.2,15.1,719,54.8,36.3,1860,76.3,7.5
1400000US06001409500,06001409500,"Census Tract 4095, Alameda County, California",2842,68.8,17.3,706,59.8,33.2,1699,82.6,12.0
1400000US06001409600,06001409600,"Census Tract 4096, Alameda County, California",3679,65.8,14.6,678,61.4,35.1,2311,79.3,6.0
1400000US06001409700,06001409700,"Census Tract 4097, Alameda County, California",3844,64.1,14.6,592,43.2,32.8,2556,80.7,11.9
1400000US06001409800,06001409800,"Census Tract 4098, Alameda County, California",2526,50.9,6.5,251,33.5,23.8,1513,73.1,3.9
1400000US06001409900,06001409900,"Census Tract 4099, Alameda County, California",2888,62.3,9.6,141,10.6,53.3,1868,83.9,9.5
1400000US06001410000,06001410000,"Census Tract 4100, Alameda County, California",2674,62.7,6.6,125,11.2,100.0,1763,80.7,2.4
1400000US06001410100,06001410100,"Census Tract 4101, Alameda County, California",2236,59.9,16.3,312,45.8,45.5,1435,76.7,12.3
1400000US06001410200,06001410200,"Census Tract 4102, Alameda County, California",2565,65.3,17.2,568,48.8,43.3,1613,83.9,12.5
1400000US06001410300,06001410300,"Census Tract 4103, Alameda County, California",2545,66.6,18.4,505,44.0,49.1,1636,84.3,11.7
1400000US06001410400,06001410400,"Census Tract 4104, Alameda County, California",3405,66.8,15.9,379,58.3,34.8,2418,78.7,13.1
1400000US06001410500,06001410500,"Census Tract 4105, Alameda County, California",1659,64.9,23.5,493,57.6,46.5,918,82.7,15.3
1400000US06001420100,06001420100,"Census Tract 4201, Alameda County, California",1891,72.2,8.0,86,39.5,55.9,1297,88.4,6.0
1400000US06001420200,06001420200,"Census Tract 4202, Alameda County, California",2526,73.6,8.9,187,44.9,31.0,1822,90.7,7.4
1400000US06001420300,06001420300,"Census Tract 4203, Alameda County, California",3543,74.1,2.9,377,66.3,19.6,2459,84.4,1.3
1400000US06001420400,06001420400,"Census Tract 4204, Alameda County, California",2493,50.3,6.9,646,32.8,19.3,1789,57.0,4.4
1400000US06001420500,06001420500,"Census Tract 4205, Alameda County, California",1785,75.0,9.7,86,52.3,48.9,1344,88.0,8.3
1400000US06001420600,06001420600,"Census Tract 4206, Alameda County, California",2284,65.5,4.7,30,100.0,43.3,1630,80.3,3.4
1400000US06001421100,06001421100,"Census Tract 4211, Alameda County, California",1777,59.7,3.8,58,60.3,20.0,971,81.6,2.9
1400000US06001421200,06001421200,"Census Tract 4212, Alameda County, California",3099,57.3,5.0,119,36.1,20.9,1748,78.8,4.8
1400000US06001421300,06001421300,"Census Tract 4213, Alameda County, California",3382,67.4,4.1,173,71.1,6.5,2108,84.7,3.4
1400000US06001421400,06001421400,"Census Tract 4214, Alameda County, California",1472,61.3,6.8,39,100.0,59.0,862,80.7,5.5
1400000US06001421500,06001421500,"Census Tract 4215, Alameda County, California",3158,63.0,4.3,75,62.7,21.3,1956,84.4,4.1
1400000US06001421600,06001421600,"Census Tract 4216, Alameda County, California",3118,63.0,4.7,252,34.5,11.5,1782,87.4,4.0
